0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,,
1,Silesia Kamila Skolimowska Memorial,Stadion Śląski,Chorzów,POL,25 AUG 2024,25 AUG 2024,7970,2,88968,1,240,"
97178
",,,
2,Memorial van Damme,Boudewijnstadion,Bruxelles,BEL,13 SEP 2024,14 SEP 2024,8580,1,88452,3,0,"
97032
",,,
3,Prefontaine Classic,Hayward Field,Eugene,OR,USA,25 MAY 2024,25 MAY 2024,7365,4,88568,2,120,"
96053
",,
4,Weltklasse Zürich,Letzigrund,Zürich,SUI,04 SEP 2024,05 SEP 2024,7700,3,87656,9,0,"
95356
",,,
5,Athletissima Lausanne,Stade Olympique de la Pontaise,Lausanne,SUI,21 AUG 2024,22 AUG 2024,7215,5,87994,5,0,"
95209
",,,
6,Meeting de Paris,Stade Charléty,Paris,FRA,07 JUL 2024,07 JUL 2024,6645,7,87954,7,240,"
94839
",,,
7,Golden Gala,Stadio Olimpico,Roma,ITA,30 AUG 2024,30 AUG 2024,6770,6,87784,8,0,"
94554
",,,
8,London Athletics Meet,Olympic Stadium,London,GBR,20 JUL 2024,20 JUL 2024,6035,11,88378,4,0,"
94413
",,,
9,Herculis Meeting International d’Athlétisme EBS,Stade Louis II,Monaco,MON,12 JUL 2024,12 JUL 2024,5580,15,87988,6,120,"
93688
",,,
10,Oslo Bislett Games,Bislett Stadion,Oslo,NOR,30 MAY 2024,30 MAY 2024,6150,10,87196,10,0,"
93346
",,,
11,Wanda Diamond League Xiamen,Egret Stadium,Xiamen,CHN,20 APR 2024,20 APR 2024,6440,8,86136,12,120,"
92696
",,,
12,USATF Los Angeles Grand Prix,Drake Stadium,Los Angeles,CA,USA,17 MAY 2024,18 MAY 2024,5705,13,86831,11,0,"
92536
",,
13,BAUHAUS-Galan,Olympiastadion,Stockholm,SWE,02 JUN 2024,02 JUN 2024,5955,12,86036,14,0,"
91991
",,,
14,Yangtze Delta Athletics Diamond Gala,Suzhou Olympic Sports Centre,Suzhou,CHN,27 APR 2024,27 APR 2024,6400,9,85436,18,0,"
91836
",,,
15,Seashore Group Doha Meeting,Suhaim bin Hamad Stadium,Doha,QAT,10 MAY 2024,10 MAY 2024,5675,14,85966,16,0,"
91641
",,,
16,Boris Hanžeković Memorial,Sports Park Mladost,Zagreb,CRO,06 SEP 2024,08 SEP 2024,4400,17,86078,13,0,"
90478
",,,
17,Meeting International Mohammed VI d’Athlétisme de Rabat/Marrakech,Le Grand Stade,Marrakech,MAR,19 MAY 2024,19 MAY 2024,4685,16,84949,19,0,"
89634
",,,
18,Gyulai István Memorial - Hungarian Athletics Grand Prix,Bregyó Athletic Center,Székesfehérvár,HUN,09 JUL 2024,09 JUL 2024,4070,18,84901,20,0,"
88971
",,,
19,Tom Jones Memorial,Percy Beard Track,Gainesville,FL,USA,12 APR 2024,13 APR 2024,2310,29,86012,15,0,"
88322
",,
20,63rd Ostrava Golden Spike,Mestský Stadion,Ostrava,CZE,28 MAY 2024,28 MAY 2024,3480,20,84785,22,0,"
88265
",,,
21,USATF New York City Grand Prix,Icahn Stadium,New York,NY,USA,08 JUN 2024,09 JUN 2024,3435,21,84411,25,0,"
87846
",,
22,FBK Games,FBK Stadium,Hengelo,NED,06 JUL 2024,07 JUL 2024,3325,22,84416,24,0,"
87741
",,,
23,Galà dei Castelli,Stadio Comunale,Bellinzona,SUI,08 SEP 2024,09 SEP 2024,3625,19,83769,32,0,"
87394
",,,
24,Paavo Nurmi Games,Paavo Nurmen Stadion,Turku,FIN,18 JUN 2024,18 JUN 2024,3170,23,84219,27,0,"
87389
",,,
25,Jamaica Athletics Invitational Meet,National Stadium,Kingston,JAM,11 MAY 2024,11 MAY 2024,3125,24,83913,29,0,"
87038
",,,
26,Southeastern Conference Outdoor Track &amp; Field Championships,Percy Beard Track,Gainesville,FL,USA,09 MAY 2024,11 MAY 2024,1030,65,85862,17,0,"
86892
",,
27,Résisprint International,Stade de La Charrière,La Chaux-de-Fonds,SUI,14 JUL 2024,14 JUL 2024,1615,41,84859,21,0,"
86474
",,,
28,ISTAF 2024,Olympiastadion,Berlin,GER,01 SEP 2024,01 SEP 2024,2785,25,83552,36,0,"
86337
",,,
29,6th Irena Szewińska Memorial,Zdzisław Krzyszkowiak Stadium,Bydgoszcz,POL,20 JUN 2024,20 JUN 2024,2160,31,84172,28,0,"
86332
",,,
30,Holloway Pro Classic,Percy Beard Track,Gainesville,FL,USA,19 JUL 2024,19 JUL 2024,1735,38,84543,23,0,"
86278
",,
31,Meeting Madrid 2024,Estadio Vallehermoso,Madrid,ESP,21 JUN 2024,21 JUN 2024,1960,37,84291,26,0,"
86251
",,,
32,Kip Keino Classic,Nyayo National Stadium,Nairobi,KEN,20 APR 2024,20 APR 2024,2605,27,83622,35,0,"
86227
",,,
33,Spitzen Leichtathletik Luzern,Stadion Allmend,Luzern,SUI,16 JUL 2024,16 JUL 2024,2135,32,83867,30,0,"
86002
",,,
34,60° Palio Città della Quercia,Stadio Quercia,Rovereto,ITA,31 AUG 2024,03 SEP 2024,2115,33,83633,34,0,"
85748
",,,
35,70. ORLEN Janusz Kusocinski Memorial,Stadion Śląski,Chorzów,POL,18 MAY 2024,18 MAY 2024,2180,30,83430,39,0,"
85610
",,,
36,National Trials for the XXXIII Olympics Games,Nyayo National Stadium,Nairobi,KEN,14 JUN 2024,15 JUN 2024,2675,26,82781,44,0,"
85456
",,,
37,114th Drake Relays presented by Xtream powered by Mediacom,Drake Stadium,Des Moines,IA,USA,22 APR 2024,27 APR 2024,1725,39,83440,38,0,"
85165
",,
38,Clyde Littlefield Texas Relays presented by Truist,Mike A. Myers Stadium,Austin,TX,USA,27 MAR 2024,30 MAR 2024,1305,49,83819,31,0,"
85124
",,
